arcPos	arcNr	speedSetting	calmWaterSpeed(k)	sogAllInclusive(k)	distance(k)	accumDist(km)	distLeft(km)	time(h)	fuelBase	emission	safetyBase	channelCost	maxWindSpeed	maxWaveHeight	weightCost	fromLevel	fromPointNr	fromTimeInterval	toLevel	toPointNr	toTimeInterval	lat1	lon1	lat2	lon2	WindFactor	WaveFactor	CurrentFactor	DelayFactor	WindSpeedDiff(k)	WaveSpeedDiff(k)	CurrentSpeedDiff(k)	DelaySpeedDiff(k)	dollarCostArcs	forecastType	exactTime	dollarCostExact	fuelCostExact	timeCostExact	channelCost
33	59255	8	15.320000	14.530616	91.715211	5598.974491	2378.191188	6.311860	9686.600696	38.153098	0.000000	0.000000	42.022485	1.210000	368211.041066	33	0	927	34	45	952	-3.000053	53.416707	-5.070064	53.126509	-3.438	-0.867	-0.390	0.000	-0.574	-0.145	-0.065	0.000	13368.519	Fcst	237.535946	13446.959537	9765.041375	3681.918162	0.000000
34	60787	8	15.320000	13.950948	91.678190	5768.831061	2208.334618	6.571467	10109.650037	39.819384	0.000000	0.000000	42.022485	1.310000	383355.626795	34	45	952	35	45	978	-5.070064	53.126509	-5.975655	51.702941	-5.678	-2.181	-0.262	0.000	-0.949	-0.364	-0.044	0.000	13943.006	Fcst	244.107413	14026.721607	10193.365984	3833.355623	0.000000
35	67475	8	15.320000	14.107816	91.712266	5938.619069	2038.546611	6.500813	9978.290564	39.301992	0.000000	0.000000	32.650311	1.770000	379233.867434	35	45	978	36	45	1004	-5.975655	51.702941	-6.664151	50.238234	-4.661	-2.937	0.360	0.000	-0.779	-0.491	0.060	0.000	13770.431	Fcst	250.608225	13872.585871	10080.445234	3792.140636	0.000000
36	80641	8	15.320000	13.959605	11.354971	6108.470185	1868.695495	0.813416	1256.347076	4.948437	0.000000	0.000000	29.622049	1.770000	47451.783567	36	45	1004	-2	0	1007	-6.664151	50.238234	-6.745833	50.056500	-0.611	-0.406	0.009	0.000	-0.824	-0.548	0.012	0.000	1730.840	Fcst	251.421642	1737.061140	1262.568239	474.492901	0.000000
37	92938	8	15.320000	13.974743	11.515021	6129.499592	1847.666088	0.823988	1264.546916	4.980734	0.000000	0.000000	28.159019	1.730000	48068.476342	-2	0	1007	-2	1	1010	-6.745833	50.056500	-6.828167	49.872170	-0.631	-0.412	0.032	0.000	-0.840	-0.548	0.043	0.000	1745.207	Fcst	252.245630	1758.670486	1278.010819	480.659666	0.000000
38	218397	8	15.320000	14.089095	162.585029	6150.825410	1826.340269	11.539778	17752.241051	69.921639	0.000000	0.000000	29.753796	1.810000	673188.973437	-2	1	1010	38	44	1056	-6.828167	49.872170	-7.849088	47.249820	-7.348	-5.557	-0.151	0.000	-0.692	-0.524	-0.014	0.000	24483.778	Fcst	263.785408	24622.579710	17891.042302	6731.537408	0.000000
39	248894	8	15.320000	14.249739	91.806774	6451.932884	1525.232796	6.442698	9887.394570	38.943975	0.000000	0.000000	22.429471	1.680000	375843.700216	38	44	1056	39	44	1082	-7.849088	47.249820	-8.544097	45.797420	-3.519	-2.724	-0.164	0.000	-0.587	-0.455	-0.027	0.000	13645.635	Fcst	270.228107	13735.758612	9977.517844	3758.240768	0.000000
40	282916	8	15.320000	14.503708	91.493195	6621.959030	1355.206650	6.308262	9681.079947	38.131354	0.000000	0.000000	16.212514	1.620000	368001.184110	39	44	1082	40	44	1107	-8.544097	45.797420	-9.259615	44.359740	-2.369	-2.087	-0.417	0.000	-0.397	-0.349	-0.070	0.000	13360.900	Fcst	276.536369	13433.213227	9753.393525	3679.819702	0.000000
41	309300	8	15.320000	14.805776	89.972950	6791.404428	1185.761252	6.076882	9325.987695	36.732734	0.000000	0.000000	12.320470	1.560000	354503.271683	40	44	1107	41	45	1131	-9.259615	44.359740	-10.104670	42.991483	-0.610	-2.104	-0.301	0.000	-0.104	-0.358	-0.051	0.000	12870.835	Fcst	282.613251	12870.835320	9325.987695	3544.847625	0.000000
42	325619	8	15.320000	15.072518	91.715211	6958.034331	1019.131348	6.084930	9338.338676	36.781381	0.000000	0.000000	22.976152	1.560000	354972.762260	41	45	1131	42	45	1155	-10.104670	42.991483	-10.105116	41.463927	-0.199	-1.554	0.273	0.000	-0.033	-0.260	0.046	0.000	12887.881	Fcst	288.698180	12887.880962	9338.338676	3549.542286	0.000000
