waveHeight	wavePeriod	value
10.5	14	4.35530804105528E-02
11	14	6.10645394942989E-02
11.5	14	8.56168598983252E-02
12	14	0.120040972380276
12.5	14	0.168306044710292
13	14	0.235977134509426
13.5	14	0.330856851321838
14	14	0.463885012817749
14.5	14	0.650400027254084
15	14	0.911907442067563
15.5	14	1.35984660173544
16	14	1.93104305958262
16.5	14	2.63139392999682
17	14	3.46236643810009
0.5	14.5	0
1	14.5	0
1.5	14.5	0
2	14.5	0
2.5	14.5	0
3	14.5	0
3.5	14.5	0
4	14.5	0
4.5	14.5	0
5	14.5	0
5.5	14.5	0
6	14.5	0
6.5	14.5	0
7	14.5	2.36421752814213E-03
7.5	14.5	3.37610234557577E-03
8	14.5	4.82107374305744E-03
8.5	14.5	6.88449272471153E-03
9	14.5	9.83105478211334E-03
9.5	14.5	1.40387450453677E-02
10	14.5	2.00473262347611E-02
10.5	14.5	0.028627579449885
11	14.5	4.08801800081668E-02
11.5	14.5	5.83768921303904E-02
12	14.5	8.33621949346221E-02
12.5	14.5	0.119041204331263
13	14.5	0.169990825454527
13.5	14.5	0.242746878285088
14	14.5	0.346642512968549
14.5	14.5	0.495005466789281
15	14.5	0.706867746984934
15.5	14.5	1.07717611591146
16	14.5	1.55900193222141
16.5	14.5	2.16036670695222
17	14.5	2.88520735189815
0.5	15	0
1	15	0
1.5	15	0
2	15	0
2.5	15	0
3	15	0
3.5	15	0
4	15	0
4.5	15	0
5	15	0
5.5	15	0
6	15	0
6.5	15	0
7	15	1.34090707376524E-03
7.5	15	1.95935187603158E-03
8	15	2.86303193503815E-03
8.5	15	4.18350167793762E-03
9	15	6.11299024475381E-03
9.5	15	8.93238550124766E-03
10	15	1.30521246637639E-02
10.5	15	1.90719442431856E-02
11	15	2.78681874855986E-02
11.5	15	4.07213792065257E-02
12	15	0.059502639894991
12.5	15	8.69460765686832E-02
13	15	0.127046804041441
13.5	15	0.185642539078732
14	15	0.271263433784271
14.5	15	0.396373863843923
15	15	0.579186946603015
15.5	15	0.846315939860791
16	15	1.24922339831209
16.5	15	1.7614224425857
17	15	2.38892339732947
0.5	15.5	0
1	15.5	0
1.5	15.5	0
2	15.5	0
2.5	15.5	0
3	15.5	0
3.5	15.5	0
4	15.5	0
4.5	15.5	0
5	15.5	0
5.5	15.5	0
6	15.5	0
6.5	15.5	0
7	15.5	0
7.5	15.5	3.11628908080002E-03
8	15.5	4.37425884378459E-03
8.5	15.5	6.14004026465848E-03
9	15.5	8.61862450257045E-03
9.5	15.5	1.20977526391579E-02
10	15.5	1.69813198004626E-02
10.5	15.5	2.38362637067156E-02
11	15.5	0.033458380984063
11.5	15.5	4.69647119132731E-02
12	15.5	6.59232186443018E-02
12.5	15.5	9.25348113377058E-02
13	15.5	0.129888853811978
13.5	15.5	0.182321810578057
14	15.5	0.255920670918997
14.5	15.5	0.359229592970661
15	15.5	0.504241802752666
15.5	15.5	0.707791898603478
16	15.5	0.993510194898388
16.5	15.5	1.42624461427624
17	15.5	1.96538940631137
0.5	16	0
1	16	0
1.5	16	0
2	16	0
2.5	16	0
3	16	0
3.5	16	0
4	16	0
4.5	16	0
5	16	0
5.5	16	0
6	16	0
6.5	16	0
7	16	0
7.5	16	1.8301953221345E-03
8	16	2.61407344921234E-03
8.5	16	3.73368892119521E-03
9	16	5.33283904645308E-03
9.5	16	7.61690995035303E-03
10	16	1.08792552496732E-02
10.5	16	1.55388727921165E-02
11	16	2.21942184559767E-02
11.5	16	3.17000685610556E-02
12	16	4.52773026799248E-02
12.5	16	6.46697067553995E-02
13	16	9.23679354619254E-02
13.5	16	0.13192939831579
14	16	0.188435153962502
14.5	16	0.269142493653152
15	16	0.38441702817433
15.5	16	0.5490639903962
16	16	0.784229738681303
16.5	16	1.14688256821769
17	16	1.60663117843839
0.5	16.5	0
1	16.5	0
1.5	16.5	0
2	16.5	0
2.5	16.5	0
3	16.5	0
3.5	16.5	0
4	16.5	0
4.5	16.5	0
5	16.5	0
5.5	16.5	0
6	16.5	0
6.5	16.5	0
7	16.5	0
7.5	16.5	1.05686461337555E-03
8	16.5	1.53897484746151E-03
8.5	16.5	2.24100944543364E-03
9	16.5	3.26329136750129E-03
9.5	16.5	4.75190792743306E-03
10	16.5	6.91958713085776E-03
10.5	16.5	1.00760971788014E-02
11	16.5	1.46725133214797E-02
11.5	16.5	2.13656779354928E-02
12	16.5	3.11120653729396E-02
12.5	16.5	4.53044651656987E-02
13	16.5	6.59710160462443E-02
13.5	16.5	9.60650333748778E-02
14	16.5	0.13988704722764
14.5	16.5	0.203699361719947
15	16.5	0.296620958033311
15.5	16.5	0.431930625612677
16	16.5	0.628964543096132
16.5	16.5	0.915879479282089
17	16.5	1.3049833286279
