absoluteWindSpeed_knots	windDirectionDiff	significantWaveHeight_m	relativeWaveDirection	fuelFactorMain
1	30	2	20	1.00492857142857
1	30	2	30	1.00492857142857
1	30	2	40	1.00492857142857
1	30	2	50	1.00468214285714
1	30	2	60	1.00443571428571
1	30	2	70	1.00418928571429
1	30	2	80	1.00394285714286
1	30	2	90	1.00369642857143
1	30	2	100	1.00345
1	30	2	110	1.00320357142857
1	30	2	120	1.00295714285714
1	30	2	130	1.00271071428571
1	30	2	140	1.00246428571429
1	30	2	150	1.00221785714286
1	30	2	160	1.00197142857143
1	30	2	170	1.001725
1	40	2	0	1.00492857142857
1	40	2	10	1.00492857142857
1	40	2	20	1.00492857142857
1	40	2	30	1.00492857142857
1	40	2	40	1.00492857142857
1	40	2	50	1.00468214285714
1	40	2	60	1.00443571428571
1	40	2	70	1.00418928571429
1	40	2	80	1.00394285714286
1	40	2	90	1.00369642857143
1	40	2	100	1.00345
1	40	2	110	1.00320357142857
1	40	2	120	1.00295714285714
1	40	2	130	1.00271071428571
1	40	2	140	1.00246428571429
1	40	2	150	1.00221785714286
1	40	2	160	1.00197142857143
1	40	2	170	1.001725
1	50	2	0	1.00492857142857
1	50	2	10	1.00492857142857
1	50	2	20	1.00492857142857
1	50	2	30	1.00492857142857
1	50	2	40	1.00492857142857
1	50	2	50	1.00468214285714
1	50	2	60	1.00443571428571
1	50	2	70	1.00418928571429
1	50	2	80	1.00394285714286
1	50	2	90	1.00369642857143
1	50	2	100	1.00345
1	50	2	110	1.00320357142857
1	50	2	120	1.00295714285714
1	50	2	130	1.00271071428571
1	50	2	140	1.00246428571429
1	50	2	150	1.00221785714286
1	50	2	160	1.00197142857143
1	50	2	170	1.001725
1	60	2	0	1.00492857142857
1	60	2	10	1.00492857142857
1	60	2	20	1.00492857142857
1	60	2	30	1.00492857142857
1	60	2	40	1.00492857142857
1	60	2	50	1.00468214285714
1	60	2	60	1.00443571428571
1	60	2	70	1.00418928571429
1	60	2	80	1.00394285714286
1	60	2	90	1.00369642857143
1	60	2	100	1.00345
1	60	2	110	1.00320357142857
1	60	2	120	1.00295714285714
1	60	2	130	1.00271071428571
1	60	2	140	1.00246428571429
1	60	2	150	1.00221785714286
1	60	2	160	1.00197142857143
1	60	2	170	1.001725
1	0	2.5	0	1.00602380952381
1	0	2.5	10	1.00602380952381
1	0	2.5	20	1.00602380952381
1	0	2.5	30	1.00602380952381
1	0	2.5	40	1.00602380952381
1	0	2.5	50	1.00572261904762
1	0	2.5	60	1.00542142857143
1	0	2.5	70	1.00512023809524
1	0	2.5	80	1.00481904761905
1	0	2.5	90	1.00451785714286
1	0	2.5	100	1.00421666666667
1	0	2.5	110	1.00391547619048
1	0	2.5	120	1.00361428571429
1	0	2.5	130	1.0033130952381
1	0	2.5	140	1.0030119047619
1	0	2.5	150	1.00271071428571
1	0	2.5	160	1.00240952380952
1	0	2.5	170	1.00210833333333
1	10	2.5	0	1.00602380952381
1	10	2.5	10	1.00602380952381
1	10	2.5	20	1.00602380952381
1	10	2.5	30	1.00602380952381
1	10	2.5	40	1.00602380952381
1	10	2.5	50	1.00572261904762
1	10	2.5	60	1.00542142857143
1	10	2.5	70	1.00512023809524
1	10	2.5	80	1.00481904761905
1	10	2.5	90	1.00451785714286
1	10	2.5	100	1.00421666666667
1	10	2.5	110	1.00391547619048
1	10	2.5	120	1.00361428571429
1	10	2.5	130	1.0033130952381
1	10	2.5	140	1.0030119047619
1	10	2.5	150	1.00271071428571
1	10	2.5	160	1.00240952380952
1	10	2.5	170	1.00210833333333
1	20	2.5	0	1.00602380952381
1	20	2.5	10	1.00602380952381
1	20	2.5	20	1.00602380952381
1	20	2.5	30	1.00602380952381
1	20	2.5	40	1.00602380952381
1	20	2.5	50	1.00572261904762
1	20	2.5	60	1.00542142857143
1	20	2.5	70	1.00512023809524
1	20	2.5	80	1.00481904761905
1	20	2.5	90	1.00451785714286
1	20	2.5	100	1.00421666666667
1	20	2.5	110	1.00391547619048
1	20	2.5	120	1.00361428571429
1	20	2.5	130	1.0033130952381
1	20	2.5	140	1.0030119047619
1	20	2.5	150	1.00271071428571
1	20	2.5	160	1.00240952380952
1	20	2.5	170	1.00210833333333
1	30	2.5	0	1.00602380952381
1	30	2.5	10	1.00602380952381
1	30	2.5	20	1.00602380952381
1	30	2.5	30	1.00602380952381
