waveHeight	wavePeriod	value
6	14	4.90465693271946E-03
6.5	14	7.26455451075011E-03
7	14	1.07599273432563E-02
7.5	14	0.015937114417798
8	14	2.36053281647084E-02
8.5	14	3.49631371875766E-02
9	14	5.17858067241322E-02
9.5	14	7.67027788061902E-02
10	14	0.113608663237252
10.5	14	0.168271978713679
11	14	0.249236792453802
11.5	14	0.369158187759577
12	14	0.546780297757181
12.5	14	0.809866078902041
13	14	1.08998532976044
13.5	14	1.42645233819914
14	14	1.82152508185891
14.5	14	2.2763477501044
15	14	2.79102590850568
15.5	14	3.36473665769123
16	14	3.99585852606723
16.5	14	4.68210882669343
0.5	14.5	0
1	14.5	0
1.5	14.5	0
2	14.5	0
2.5	14.5	0
3	14.5	0
3.5	14.5	0
4	14.5	0
4.5	14.5	1.07277103293004E-03
5	14.5	0.001602471904174
5.5	14.5	2.39372254175556E-03
6	14.5	3.57566806131444E-03
6.5	14.5	5.34122140794452E-03
7	14.5	7.97854992115726E-03
7.5	14.5	1.19181089834087E-02
8	14.5	1.78028994170666E-02
8.5	14.5	2.65934157923383E-02
9	14.5	3.97244149358182E-02
9.5	14.5	0.059339091838202
10	14.5	8.86388843201738E-02
10.5	14.5	0.13240600033024
11	14.5	0.197783952922133
11.5	14.5	0.295443499055459
12	14.5	0.441324282604958
12.5	14.5	0.659236446357617
13	14.5	0.984746838857346
13.5	14.5	1.2980417019126
14	14.5	1.66824489520215
14.5	14.5	2.09683382901877
15	14.5	2.58424287530572
15.5	14.5	3.12995999693976
16	14.5	3.73264773127605
16.5	14.5	4.39027557589936
0.5	15	0
1	15	0
1.5	15	0
2	15	0
2.5	15	0
3	15	0
3.5	15	0
4	15	0
4.5	15	0
5	15	2.37955188862806E-03
5.5	15	3.4437652652693E-03
6	15	4.98392964614569E-03
6.5	15	7.21290587608835E-03
7	15	0.010438753126771
7.5	15	1.51073046998868E-02
8	15	0.021863785121032
8.5	15	3.16419844118352E-02
9	15	4.57933140111084E-02
9.5	15	6.62735807219353E-02
10	15	9.59132920723193E-02
10.5	15	0.138808851067635
11	15	0.200888706021986
11.5	15	0.290732701097885
12	15	0.420757867186529
12.5	15	0.608934537225489
13	15	0.88126996437511
13.5	15	1.17527421587659
14	15	1.52089406354716
14.5	15	1.92347066593474
15	15	2.38378829080697
15.5	15	2.90166982201068
16	15	3.47608637287367
16.5	15	4.10528271040222
0.5	15.5	0
1	15.5	0
1.5	15.5	0
2	15.5	0
2.5	15.5	0
3	15.5	0
3.5	15.5	0
4	15.5	0
4.5	15.5	0
5	15.5	1.7110455583731E-03
5.5	15.5	2.50480155468652E-03
6	15.5	3.66678186776366E-03
6.5	15.5	5.36780618033554E-03
7	15.5	7.85793762180387E-03
7.5	15.5	1.15032438940075E-02
8	15.5	1.68396119253801E-02
8.5	15.5	0.024651527204872
9	15.5	3.60873989392026E-02
9.5	15.5	5.28283846827866E-02
10	15.5	7.73355329070483E-02
10.5	15.5	0.113211575290999
11	15.5	0.165730554870223
11.5	15.5	0.242613149291421
12	15.5	0.355161667413671
12.5	15.5	0.519921572134341
13	15.5	0.76111378555894
13.5	15.5	1.03735100702069
14	15.5	1.37401920196596
14.5	15.5	1.75660289943915
15	15.5	2.18992966443467
15.5	15.5	2.6800098916613
16	15.5	3.22614869073239
16.5	15.5	3.82689227386308
0.5	16	0
1	16	0
1.5	16	0
2	16	0
2.5	16	0
3	16	0
3.5	16	0
4	16	0
4.5	16	0
5	16	1.21711547188842E-03
5.5	16	1.79513744202826E-03
6	16	2.64766861501797E-03
6.5	16	3.90507653109318E-03
7	16	5.7596417569769E-03
7.5	16	8.49496108580119E-03
8	16	1.25293146508393E-02
8.5	16	1.84796285744174E-02
9	16	2.72558142057316E-02
9.5	16	4.01999101348701E-02
10	16	0.059291304330648
10.5	16	8.74494186040518E-02
11	16	0.128980141363389
11.5	16	0.190234276358574
12	16	0.280578696217357
12.5	16	0.413828707833094
13	16	0.610360664354009
13.5	16	0.900227880616058
14	16	1.20283962840764
14.5	16	1.56601486422181
15	16	1.99261209602141
15.5	16	2.46544906492577
16	16	2.9832146743606
16.5	16	3.55535117414916
0.5	16.5	0
1	16.5	0
1.5	16.5	0
2	16.5	0
2.5	16.5	0
3	16.5	0
3.5	16.5	0
4	16.5	0
4.5	16.5	0
5	16.5	0
5.5	16.5	2.53404774317308E-03
6	16.5	3.62454001187661E-03
6.5	16.5	5.18431049023735E-03
7	16.5	7.41530654127594E-03
7.5	16.5	0.010606380772262
8	16.5	0.015170689500161
8.5	16.5	2.16991851275211E-02
9	16.5	3.10371282197448E-02
9.5	16.5	4.43935254926749E-02
10	16.5	0.063497662918924
10.5	16.5	0.090823000683525
11	16.5	0.129907418225643
11.5	16.5	0.185811272288358
12	16.5	0.265772573891419
12.5	16.5	0.380144111619086
13	16.5	0.543733852905767
13.5	16.5	0.777722168407531
14	16.5	1.04854773575025
14.5	16.5	1.37636910696924
15	16.5	1.76445670609108
15.5	16.5	2.21499793405423
16	16.5	2.7291054173373
16.5	16.5	3.29125718096554
